timestamp,algo,device,max_side,content,style,params,time_ms,ssim_content,ssim_style
2025-09-21T17:51:33.688991,adain_opt,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\starry_night.png,"alpha=0.8,steps=300,opt=adam,tv=1e-06",14868.45,0.5178,0.0286
2025-09-21T17:52:07.095853,gatys,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\the_scream.jpg,steps=400,32801.03,0.5387,0.1616
2025-09-21T17:52:22.143714,adain_opt,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\the_scream.jpg,"alpha=0.8,steps=300,opt=adam,tv=1e-06",14875.47,0.5290,0.0702
2025-09-21T18:11:02.769701,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\DP130155.jpg,steps=400,25780.45,0.4220,0.1105
2025-09-21T18:11:14.443562,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\DP130155.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",11155.59,0.1938,0.0256
2025-09-21T18:11:40.791973,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,steps=400,25750.78,0.4801,0.1272
2025-09-21T18:11:52.558326,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",11589.86,0.1955,0.0413
2025-09-21T18:12:19.788063,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\abstract-style-1.jpg,steps=400,26662.26,0.4018,0.0678
2025-09-21T18:12:31.781935,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\abstract-style-1.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",11775.57,0.2067,0.0334
2025-09-21T18:12:58.413217,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\starry_night.png,steps=400,26012.78,0.3145,0.0328
2025-09-21T18:13:10.214602,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\starry_night.png,"alpha=2.5,steps=400,opt=adam,tv=1e-06",11652.59,0.1898,0.0185
2025-09-21T18:13:36.932610,gatys,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\the_scream.jpg,steps=400,26159.14,0.5344,0.1755
2025-09-21T18:13:48.595481,adain_opt,cuda,720,test_images/content\IMG_2246.jpg,test_images/style\the_scream.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",11519.33,0.2084,0.0486
2025-09-21T18:14:15.627448,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\DP130155.jpg,steps=400,26281.62,0.4733,0.1377
2025-09-21T18:14:27.397997,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\DP130155.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",11620.92,0.2444,0.0279
2025-09-21T18:14:54.125645,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,steps=400,26192.30,0.4634,0.1315
2025-09-21T18:15:05.959195,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",11613.91,0.2443,0.0375
2025-09-21T18:15:32.806200,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\abstract-style-1.jpg,steps=400,26247.53,0.4205,0.0728
2025-09-21T18:15:44.691044,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\abstract-style-1.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",11757.61,0.2570,0.0285
2025-09-21T18:16:11.272162,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\starry_night.png,steps=400,25972.09,0.3508,0.0310
2025-09-21T18:16:22.918634,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\starry_night.png,"alpha=2.5,steps=400,opt=adam,tv=1e-06",11440.74,0.2346,0.0151
2025-09-21T18:16:49.418117,gatys,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\the_scream.jpg,steps=400,25921.39,0.4801,0.1848
2025-09-21T18:17:01.796369,adain_opt,cuda,720,test_images/content\IMG_3088.jpg,test_images/style\the_scream.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",12156.81,0.2512,0.0441
2025-09-21T18:17:23.905555,gatys,cuda,720,test_images/content\couple.jpeg,test_images/style\DP130155.jpg,steps=400,21573.44,0.4657,0.0834
2025-09-21T18:17:33.565312,adain_opt,cuda,720,test_images/content\couple.jpeg,test_images/style\DP130155.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",9272.31,0.1961,0.0289
2025-09-21T18:17:55.928075,gatys,cuda,720,test_images/content\couple.jpeg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,steps=400,21818.92,0.5412,0.1342
2025-09-21T18:18:05.867029,adain_opt,cuda,720,test_images/content\couple.jpeg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",9830.51,0.2083,0.0464
2025-09-21T18:18:28.160869,gatys,cuda,720,test_images/content\couple.jpeg,test_images/style\abstract-style-1.jpg,steps=400,21945.98,0.4514,0.0719
2025-09-21T18:18:37.488156,adain_opt,cuda,720,test_images/content\couple.jpeg,test_images/style\abstract-style-1.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",9205.86,0.2155,0.0361
2025-09-21T18:19:00.308346,gatys,cuda,720,test_images/content\couple.jpeg,test_images/style\starry_night.png,steps=400,22305.44,0.3515,0.0296
2025-09-21T18:19:09.828671,adain_opt,cuda,720,test_images/content\couple.jpeg,test_images/style\starry_night.png,"alpha=2.5,steps=400,opt=adam,tv=1e-06",9420.54,0.2049,0.0186
2025-09-21T18:19:32.834507,gatys,cuda,720,test_images/content\couple.jpeg,test_images/style\the_scream.jpg,steps=400,22640.08,0.5984,0.1622
2025-09-21T18:19:42.632871,adain_opt,cuda,720,test_images/content\couple.jpeg,test_images/style\the_scream.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",9672.75,0.2325,0.0463
2025-09-21T18:20:08.580490,gatys,cuda,720,test_images/content\edited (5).png,test_images/style\DP130155.jpg,steps=400,24721.44,0.5584,0.0595
2025-09-21T18:20:19.587520,adain_opt,cuda,720,test_images/content\edited (5).png,test_images/style\DP130155.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",10847.03,0.2943,0.0214
2025-09-21T18:20:45.101233,gatys,cuda,720,test_images/content\edited (5).png,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,steps=400,24811.41,0.5472,0.1043
2025-09-21T18:20:56.123511,adain_opt,cuda,720,test_images/content\edited (5).png,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",10848.14,0.2992,0.0451
2025-09-21T18:21:21.667867,gatys,cuda,720,test_images/content\edited (5).png,test_images/style\abstract-style-1.jpg,steps=400,24854.64,0.5383,0.0580
2025-09-21T18:21:32.536084,adain_opt,cuda,720,test_images/content\edited (5).png,test_images/style\abstract-style-1.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",10718.74,0.3137,0.0329
2025-09-21T18:21:57.981033,gatys,cuda,720,test_images/content\edited (5).png,test_images/style\starry_night.png,steps=400,24792.48,0.4369,0.0318
2025-09-21T18:22:09.245037,adain_opt,cuda,720,test_images/content\edited (5).png,test_images/style\starry_night.png,"alpha=2.5,steps=400,opt=adam,tv=1e-06",11130.03,0.3087,0.0195
2025-09-21T18:22:35.334760,gatys,cuda,720,test_images/content\edited (5).png,test_images/style\the_scream.jpg,steps=400,25061.52,0.5656,0.1421
2025-09-21T18:22:46.541771,adain_opt,cuda,720,test_images/content\edited (5).png,test_images/style\the_scream.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",11018.21,0.3108,0.0444
2025-09-21T18:23:21.446357,gatys,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\DP130155.jpg,steps=400,34266.68,0.5999,0.1971
2025-09-21T18:23:37.484256,adain_opt,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\DP130155.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",15840.35,0.3539,0.0491
2025-09-21T18:24:11.526388,gatys,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,steps=400,33408.82,0.5419,0.1008
2025-09-21T18:24:26.833920,adain_opt,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\Vincent-van-Goghs-Self-Portrait-copy.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",15151.47,0.3539,0.0388
2025-09-21T18:25:01.974302,gatys,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\abstract-style-1.jpg,steps=400,34534.26,0.5677,0.0698
2025-09-21T18:25:17.685794,adain_opt,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\abstract-style-1.jpg,"alpha=2.5,steps=400,opt=adam,tv=1e-06",15488.45,0.3805,0.0315
2025-09-21T18:25:52.590283,gatys,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\starry_night.png,steps=400,34285.98,0.5031,0.0351
2025-09-21T18:26:08.513635,adain_opt,cuda,720,test_images/content\kentish_houses.jpg,test_images/style\starry_night.png,"alpha=2.5,steps=400,opt=adam,tv=1e-06",15666.19,0.3580,0.0206
